x generation elapsed_ms log10_p sat one_minus_r2_train one_minus_r2_val one_minus_r2_third
6860 6860 219794 -1.323153396370e1 nan 4.271435318515e-5 2.039040191437e-5 9.182437323034e-3
7060 7060 226213 -1.323153396370e1 nan 4.271435318515e-5 2.039040191437e-5 9.182437323034e-3
7260 7260 232549 -1.323153396370e1 nan 4.271435318515e-5 2.039040191437e-5 9.182437323034e-3
7460 7460 238652 -1.323153396370e1 nan 4.271435318515e-5 2.039040191437e-5 9.182437323034e-3
7660 7660 245066 -1.323153396370e1 nan 4.271435318515e-5 2.039040191437e-5 9.182437323034e-3
7860 7860 251296 -1.323153396370e1 nan 4.271435318515e-5 2.039040191437e-5 9.182437323034e-3
8060 8060 257650 -1.323153396370e1 nan 4.271435318515e-5 2.039040191437e-5 9.182437323034e-3
8260 8260 264058 -1.323305552293e1 nan 7.445295523212e-6 8.914304315821e-7 9.164757095277e-3
8300 8300 265331 -1.327216029296e1 nan 2.451057753206e-6 5.836626115752e-8 9.119430556893e-3
8340 8340 266650 -1.327340657196e1 nan 7.373030825875e-7 4.705644240932e-8 9.120230562985e-3
8380 8380 267887 -1.327434170034e1 nan 2.333541488042e-6 5.964277960402e-8 9.119099006057e-3
8460 8460 270514 -1.328152786623e1 nan 2.371961045355e-6 1.287029149921e-9 9.119870141149e-3
8660 8660 276985 -1.328152786623e1 nan 2.371961045355e-6 1.287029149921e-9 9.119870141149e-3
8860 8860 283487 -1.328152786623e1 nan 2.371961045355e-6 1.287029149921e-9 9.119870141149e-3
8900 8900 284780 -1.328215389118e1 nan 9.884158771456e-7 1.661536019881e-9 9.119338355958e-3
9100 9100 291338 -1.328215389118e1 nan 9.884158771456e-7 1.661536019881e-9 9.119338355958e-3
9220 9220 295262 -1.328246719764e1 nan 9.792862556424e-7 2.842748036969e-9 9.119318798184e-3
9300 9300 297861 -1.328278028069e1 nan 8.926798500397e-7 6.063347601781e-10 9.119580499828e-3
9500 9500 304465 -1.328278028069e1 nan 8.926798500397e-7 6.063347601781e-10 9.119580499828e-3
9700 9700 311067 -1.328278028069e1 nan 8.926798500397e-7 6.063347601781e-10 9.119580499828e-3
9740 9740 312358 -1.333590799787e1 nan 8.926144799970e-7 6.053232359804e-10 8.512013591826e-3
9900 9900 317628 -1.334757652376e1 nan 8.926144799970e-7 6.053232359804e-10 8.497422561050e-3
10100 10100 324186 -1.334757652376e1 nan 8.926144799970e-7 6.053232359804e-10 8.497422561050e-3
10300 10300 330732 -1.334757652376e1 nan 8.926144799970e-7 6.053232359804e-10 8.497422561050e-3
10340 10340 332044 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
10540 10540 338593 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
10740 10740 345004 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
10940 10940 351536 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
11140 11140 358201 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
11340 11340 364842 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
11540 11540 371465 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
11740 11740 378114 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
11940 11940 384753 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
12140 12140 391336 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
12340 12340 397883 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
12540 12540 404598 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
12740 12740 411030 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
12940 12940 417453 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
13140 13140 424086 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
13340 13340 430578 -1.334790219997e1 nan 9.850870128503e-7 4.907647621621e-10 8.497250266373e-3
13500 13500 435864 -1.335018047948e1 nan 9.838597634371e-7 2.572646429222e-9 8.496091701090e-3
13540 13540 437159 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
13740 13740 443823 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
13940 13940 450482 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
14140 14140 457097 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
14340 14340 463703 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
14540 14540 470275 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
14740 14740 476863 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
14940 14940 483442 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
15140 15140 490210 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
15340 15340 496796 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
15540 15540 503291 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
15740 15740 509881 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
15940 15940 516341 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
16140 16140 522852 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
16340 16340 529743 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
16540 16540 536258 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
16740 16740 542847 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
16940 16940 549547 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
17140 17140 556280 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
17340 17340 562978 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
17540 17540 569639 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
17740 17740 576221 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
17940 17940 582809 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
18140 18140 589372 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
18340 18340 595918 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
18540 18540 602607 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
18740 18740 609314 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
18940 18940 615832 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
19140 19140 622409 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
19340 19340 628866 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
19540 19540 635326 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
19740 19740 641756 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
19940 19940 648253 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
20140 20140 654713 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
20340 20340 661167 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
20540 20540 667678 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
20740 20740 674062 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
20940 20940 680717 -1.335115781942e1 nan 9.850870128503e-7 4.907647621621e-10 8.495960384607e-3
